platform,path,display_name,emulator_command,extension
pv1000,archive:mame-sl/mame-sl/pv1000.zip,MAME,mame pv1000 -cart,
pv2000,archive:tosec-main/Casio/PV-2000/Games,TOSEC,mame pv2000 -cart,
pv2000,archive:mame-sl/mame-sl/pv2000.zip,MAME,mame pv2000 -cart,
loopy,archive:ni-roms/roms/Casio - Loopy (LittleEndian).zip,NoIntro,mame casloopy -cart,
loopy,archive:tosec-main/Casio/Loopy/Games/[BIN],TOSEC,mame casloopy -cart,
loopy,archive:mame-sl/mame-sl/casloopy.zip,MAME,mame casloopy -cart,
supracan,archive:ni-roms/roms/Funtech - Super Acan.zip,NoIntro,mame supracan -cart,
supracan,archive:tosec-main/Funtech/Super A'can/Games,TOSEC,mame supracan -cart,
supracan,archive:mame-sl/mame-sl/supracan.zip,MAME,mame supracan -cart,
vc4000,archive:ni-roms/roms/Interton - VC 4000.zip,NoIntro,mame vc4000 -cart,
vc4000,archive:mame-sl/mame-sl/vc4000.zip,MAME,mame vc4000 -cart,
multivision,archive:tosec-main/Tsukuda Original/Othello Multivision/Games,Othello Multivision,gearsystem_libretro,
cgenie,archive:tosec-main/EACA/EG2000 Colour Genie/Games/[CAS],TOSEC,mame cgenie -autoboot_command 'CLOAD\nRUN\n' -autoboot_delay 2 -cass,
cgenie,archive:mame-sl/mame-sl/cgenie_cass.zip,Cass MAME,mame cgenie -autoboot_command 'CLOAD\nRUN\n' -autoboot_delay 2 -cass,
trs80,archive:tosec-main/Tandy Radio Shack/TRS-80 Model III/Games/[CMD],Model III,mame trs80m3 -quik,
trs80,archive:tosec-main/Tandy Radio Shack/TRS-80 Model 4/Games/[CMD],Model 4,mame trs80m3 -quik,
trs80,archive:mame-sl/mame-sl/trs80_quik.zip,MAME,mame trs80m3 -quik,
trs80,archive:mame-sl/mame-sl/trs80_cass.zip,Cass MAME,mame trs80m3 -autoboot_command 'CLOAD\nRUN\n' -autoboot_delay 2 -cass,
trs80,archive:mame-sl/mame-sl/trs80_flop.zip,Flop MAME,mame trs80m3 -flop1,
trs80,archive:mame-sl/mame-sl/trs80m2.zip,Model II MAME,mame trs80m2 -flop1,
coco,archive:tosec-main/Tandy Radio Shack/TRS-80 Color Computer/Games/[ROM],TOSEC,mame coco3 -cart,
coco,archive:tosec-main/Tandy Radio Shack/TRS-80 Color Computer/Applications/[ROM],App,mame coco3 -cart,
coco,archive:mame-sl/mame-sl/coco_cart.zip,MAME,mame coco3 -cart,
coco,archive:mame-sl/mame-sl/coco_flop.zip,Flop MAME,mame coco3 -flop1,
mc10,archive:tosec-main/Tandy Radio Shack/TRS-80 MC-10/Various,TOSEC,mame mc10 -cass,
mc10,archive:mame-sl/mame-sl/mc10.zip,MAME,mame mc10 -cass,
dragon64,archive:tosec-main/Dragon Data/Dragon/Games/[CAS],TOSEC,mame dragon64 -autoboot_command 'CLOAD\n' -autoboot_delay 4 -cass,
dragon64,archive:mame-sl/mame-sl/dragon_cass.zip,MAME,mame dragon64 -autoboot_command 'CLOAD\n' -autoboot_delay 4 -cass,
